dim_1,dim_2,dim_3,cluster_id
-6.648144963041714,5.892804537366553,0.8289361444597607,cluster_0
-7.7343224897875755,6.098715998709818,1.37333428510973,cluster_0
-7.804431267342247,5.285765232638837,1.746484292876116,cluster_0
-7.7451440923192285,6.280813459219816,1.086445088570081,cluster_0
-8.19887485582332,6.487819603909807,0.17081323087347922,cluster_0
-8.10451480961363,5.257184171320092,0.8725239851691047,cluster_0
-7.114552040999565,5.71807600099795,1.2334312217228767,cluster_0
-7.285574886634918,6.787056274113575,1.3323300456468716,cluster_0
-8.280921521475525,6.291967943114516,0.24745303080284486,cluster_0
-7.6226672120948615,6.771115194156984,2.006412126630132,cluster_0
-8.120446490882285,6.4218098288766265,0.7075332860082519,cluster_0
-6.793446814797682,5.320530153837241,0.2620421648350194,cluster_0
-7.763240585200896,7.538180823210151,0.5774195009631644,cluster_0
-6.633302386345391,6.843566719078393,1.6283032757551792,cluster_0
-8.0342059959489,7.617050010764316,0.5035613903266547,cluster_0
-7.26699117673055,6.541945416036862,0.1534278511440087,cluster_0
-7.820428219934617,7.387068908152895,0.8246138469113007,cluster_0
-7.078525635582338,7.494753561174136,2.706803503020296,cluster_0
-8.12865625994727,7.32158230243901,1.770202867698281,cluster_0
-7.560915281939339,6.422743911756889,1.3891501049564052,cluster_0
-7.840120867901981,7.164719276690044,1.1776404832241831,cluster_0
-8.398849633543096,7.961667958067388,0.1876641753403201,cluster_0
-8.273097279556223,6.4785159915643655,0.9715627480564546,cluster_0
-8.137014168324932,7.649011761322988,0.7435689831342048,cluster_0
-6.721334560337475,7.855140024735088,0.803432680499046,cluster_0
-8.142964846593046,7.046875358421047,1.7761148444169763,cluster_0
-7.446171808070838,8.254865382293897,1.9085979634252603,cluster_0
-9.253920240973185,6.916957826354898,1.6239050168518052,cluster_0
-8.624254060603121,7.478551004401968,1.2728349041362748,cluster_0
-7.802297105366298,7.633358680737884,1.0025701170374797,cluster_0
-7.403147327279071,8.14446658656746,1.0285830849143243,cluster_0
-9.487426143438164,8.093577047846049,2.192570452606275,cluster_0
-8.445893061963393,8.179714893325775,1.0592006265544436,cluster_0
-9.24396677259687,8.212996800524676,2.1932992867054755,cluster_0
-9.032669341769305,7.263456438465853,1.0272616998597044,cluster_0
-8.481090811192473,8.255434193832444,1.623440353398942,cluster_0
-9.417292138869657,7.511556744065854,0.398105886176621,cluster_0
-7.691433080705379,9.062869104059457,0.04853808483225597,cluster_0
-8.667562625036242,8.829091574439174,1.9660098725189417,cluster_0
-7.182354030856457,8.514535440281525,0.7071326221952619,cluster_0
-8.846944046900527,9.383504286642012,1.7862451159405524,cluster_0
-9.370988856859674,8.55866321516411,0.6601949830803392,cluster_0
-8.223035388652498,8.400922842558895,1.2413346170489223,cluster_0
-9.223177442027561,9.26013182075324,0.6105515445776863,cluster_0
-9.383308348722764,10.052946970649392,1.0248831839811055,cluster_0
-8.554319576366556,9.646248678762163,1.2018254501817054,cluster_0
-8.518278587995923,10.120789647213556,0.5006805764878268,cluster_0
-8.979952331090153,7.812181896366722,0.5189263720572133,cluster_0
-8.684188698197074,9.263226854072913,2.113849526018728,cluster_0
-8.9839492796523,9.931556938829557,0.8260930017054982,cluster_0
