dim_1,dim_2,dim_3,cluster_id
18.107832088784264,-5.529460176765732,5.267641889424801,cluster_0
18.14366744805165,-5.41840159922308,5.435800844956381,cluster_0
18.13427405574158,-5.329870000118311,5.404365325341153,cluster_0
18.066123874886387,-5.3330004315944874,5.26644889197106,cluster_0
18.221921610568657,-5.627126552796628,5.349516913716351,cluster_0
18.121809998949978,-5.510939728879539,5.226550669441795,cluster_0
18.51246698719221,-5.279018447914034,5.202740378807862,cluster_0
18.342234545871797,-5.51524241856858,5.387665221621249,cluster_0
18.32954880246649,-5.1231426164047,5.452133998831137,cluster_0
18.39788682527495,-5.428106383943067,5.3281895433361415,cluster_0
18.310815285863693,-5.201214962667109,5.230351585430473,cluster_0
18.15711015015482,-5.454999945444382,5.238738728645266,cluster_0
18.58628147973838,-5.658058484644704,5.4734489645378455,cluster_0
18.491783658782992,-5.344771039920551,5.0885277728134195,cluster_0
18.453848727664322,-5.20018195061856,5.523937722020527,cluster_0
18.20199571045521,-5.375109769030538,5.341257636720082,cluster_0
18.39291998694088,-5.402113501732887,5.360789372272287,cluster_0
18.486053046665546,-5.637000916778948,5.353070784891823,cluster_0
18.595358769083916,-5.3930378782929225,5.420056754774536,cluster_0
18.0430775395665,-5.450767938212179,5.5092316923093945,cluster_0
18.70824881058443,-5.710249144394576,5.274952695654675,cluster_0
18.210401665807854,-5.343438299793339,5.374458826567528,cluster_0
18.26989084225872,-5.46735155967497,5.238949738900799,cluster_0
18.32649919937107,-5.186669891398817,5.3025388628759975,cluster_0
18.3869567088516,-5.438812207872671,5.367669449511279,cluster_0
18.375243525520446,-5.264708485976115,5.482439747541847,cluster_0
18.462405799711362,-5.511340363207796,5.4211721744265,cluster_0
18.390521451543577,-5.562149618403749,5.38845117650448,cluster_0
18.347560556599735,-5.322466388842367,5.191941660261292,cluster_0
18.541015127689526,-5.329463396339721,5.010666735963767,cluster_0
18.58646677146406,-5.477346982793282,5.346983096928893,cluster_0
18.6703547292985,-5.549103827008767,5.459478304121073,cluster_0
18.226608940846397,-5.473278336698222,5.383159507451162,cluster_0
18.778267419442294,-5.35374572935098,5.28109422495794,cluster_0
18.58780618248923,-5.437213981844318,5.247262284994811,cluster_0
18.578527232520024,-5.778823639427517,5.0721169521516964,cluster_0
18.62423396883999,-5.326409417392213,5.31752694926058,cluster_0
18.63578932972998,-5.390155591203702,5.0082629732294635,cluster_0
18.18680633578181,-5.638115990786164,5.372286587108973,cluster_0
